True Subject \ Predicted,Agriculture,Art & Culture,Bihar Economy,Bihar Polity & Governance,Current Affairs,Disaster Management,Environment & Ecology,General Mental Ability & CSAT,General Science,Geography,History of Bihar,History of India,Indian Economy,Indian Polity,Internal Security,Mathematics — Mains,Miscellaneous,Society
Agriculture,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Art & Culture,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bihar Economy,0,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0
Bihar Polity & Governance,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Affairs,0,2,0,0,10,0,0,0,0,1,1,1,2,2,2,0,1,0
Disaster Management,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Environment & Ecology,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
General Mental Ability & CSAT,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0
General Science,1,0,0,0,0,0,1,3,11,0,0,0,0,0,0,0,0,0
Geography,0,0,0,0,0,1,1,0,0,15,0,1,0,0,0,0,0,0
History of Bihar,0,0,2,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0
History of India,0,0,0,1,0,1,0,0,0,4,3,15,0,0,1,0,0,0
Indian Economy,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0
Indian Polity,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0
Internal Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathematics — Mains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
